"","mu","gamma","f","grow","rel_fit"
"97",0.0100000000000004,1.0000000403613e-08,9.99999998938383e-07,0.17,0.99
"98",0.0100000000000003,1.00000005076249e-08,9.99999999106632e-07,0.17,0.989999999999999
"99",0.0100000000000005,1.00000004661936e-08,9.9999999918997e-07,0.17,0.99
"100",0.0100000000000005,1.00000002727447e-08,9.99999999229903e-07,0.17,0.989999999999999
"101",0.0100000000000005,1.00000003045282e-08,9.99999999124434e-07,0.17,0.989999999999999
"102",0.0100000000000006,1.00000004498484e-08,9.99999999273845e-07,0.17,0.989999999999999
"103",0.0100000000000007,1.00000005812436e-08,9.99999999105997e-07,0.17,0.989999999999999
"104",0.0100000000000008,1.00000004189843e-08,9.99999999169394e-07,0.17,0.989999999999999
"105",0.0100000000000007,1.00000004466612e-08,9.99999999391664e-07,0.17,0.989999999999999
"106",0.0100000000000007,1.00000004466612e-08,9.99999999391664e-07,0.17,0.989999999999999
"107",0.0100000000000007,1.00000004733056e-08,9.99999999304348e-07,0.17,0.989999999999999
"108",0.0100000000000006,1.00000006479856e-08,9.99999999330616e-07,0.17,0.989999999999999
"109",0.0100000000000006,1.00000006592845e-08,9.99999999507454e-07,0.17,0.989999999999999
"110",0.0100000000000006,1.00000007174672e-08,9.99999999458867e-07,0.17,0.989999999999999
"111",0.0100000000000007,1.00000005966435e-08,9.99999999468683e-07,0.17,0.989999999999999
"112",0.0100000000000008,1.00000005502246e-08,9.99999999545472e-07,0.17,0.989999999999999
"113",0.0100000000000007,1.00000005647517e-08,9.99999999703611e-07,0.17,0.989999999999999
"114",0.0100000000000007,1.00000007220662e-08,9.99999999718662e-07,0.17,0.989999999999999
"115",0.0100000000000007,1.00000007720369e-08,9.99999999590873e-07,0.17,0.989999999999999
"116",0.010000000000001,1.00000007910461e-08,9.99999999549507e-07,0.17,0.99
"117",0.0100000000000011,1.00000008119617e-08,9.99999999556443e-07,0.17,0.99
"118",0.010000000000001,1.0000000930049e-08,9.99999999555547e-07,0.17,0.99
"119",0.0100000000000011,1.0000000849913e-08,9.99999999560166e-07,0.17,0.99
"120",0.010000000000001,1.00000008400003e-08,9.99999999628908e-07,0.17,0.99
"121",0.010000000000001,1.00000008737002e-08,9.99999999607303e-07,0.17,0.99
"122",0.0100000000000011,1.00000007445109e-08,9.99999999495869e-07,0.17,0.99
"123",0.0100000000000011,1.0000000670069e-08,9.99999999392299e-07,0.17,0.99
"124",0.010000000000001,1.0000000631961e-08,9.99999999324588e-07,0.17,0.99
"125",0.010000000000001,1.00000008951579e-08,9.99999999222127e-07,0.17,0.99
"126",0.010000000000001,1.00000008772398e-08,9.99999999323762e-07,0.17,0.99
"127",0.010000000000001,1.00000009078867e-08,9.9999999931435e-07,0.17,0.99
"128",0.010000000000001,1.00000009664986e-08,9.99999999355526e-07,0.17,0.99
"129",0.010000000000001,1.00000009177626e-08,9.99999999509969e-07,0.17,0.99
"130",0.0100000000000012,1.00000009887319e-08,9.99999999398688e-07,0.17,0.99
"131",0.0100000000000013,1.00000010463883e-08,9.99999999529064e-07,0.17,0.99
"132",0.0100000000000013,1.00000010985494e-08,9.999999994781e-07,0.17,0.99
"133",0.0100000000000013,1.00000012637513e-08,9.99999999421602e-07,0.17,0.99
"134",0.0100000000000012,1.00000012729512e-08,9.9999999930353e-07,0.17,0.99
"135",0.0100000000000014,1.00000011971477e-08,9.99999999201852e-07,0.17,0.99
"136",0.0100000000000014,1.00000012920661e-08,9.9999999907218e-07,0.17,0.99
