"","pig","parent_strain","time","name","sum_prop"
"286",3,1,288,"phi2",1
"287",3,1,288,"p1",1
"288",3,1,288,"p2",1
"289",3,1,288,"p3",1
"290",3,1,288,"phi3",0
"291",3,1,384,"SCCmec",1
"292",3,1,384,"p4",0
"293",3,1,384,"phi6",1
"294",3,1,384,"SaPI",1
"295",3,1,384,"Tn916",1
"296",3,1,384,"phi2",1
"297",3,1,384,"p1",1
"298",3,1,384,"p2",1
"299",3,1,384,"p3",0.95
"300",3,1,384,"phi3",0
"301",3,2,0,"SCCmec",0
"302",3,2,0,"p4",1
"303",3,2,0,"phi6",0
"304",3,2,0,"SaPI",0
"305",3,2,0,"Tn916",0
"306",3,2,0,"phi2",0
"307",3,2,0,"p1",0
"308",3,2,0,"p2",0
"309",3,2,0,"p3",0
"310",3,2,0,"phi3",1
"311",3,2,4,"SCCmec",0
"312",3,2,4,"p4",1
"313",3,2,4,"phi6",0
"314",3,2,4,"SaPI",0
"315",3,2,4,"Tn916",0
"316",3,2,4,"phi2",0
"317",3,2,4,"p1",0
"318",3,2,4,"p2",0
"319",3,2,4,"p3",0
"320",3,2,4,"phi3",1
"321",3,2,48,"SCCmec",0
"322",3,2,48,"p4",0
"323",3,2,48,"phi6",0.4
"324",3,2,48,"SaPI",0
"325",3,2,48,"Tn916",0
"326",3,2,48,"phi2",0
"327",3,2,48,"p1",0.05
"328",3,2,48,"p2",0
"329",3,2,48,"p3",0.05
"330",3,2,48,"phi3",1
"331",3,2,72,"SCCmec",0
"332",3,2,72,"p4",0
"333",3,2,72,"phi6",0
"334",3,2,72,"SaPI",0
"335",3,2,72,"Tn916",0
"336",3,2,72,"phi2",0.65
"337",3,2,72,"p1",0
"338",3,2,72,"p2",0.6
"339",3,2,72,"p3",0.05
"340",3,2,72,"phi3",1
"341",3,2,288,"SCCmec",0
"342",3,2,288,"p4",0
"343",3,2,288,"phi6",1
"344",3,2,288,"SaPI",0
"345",3,2,288,"Tn916",0
"346",3,2,288,"phi2",0.95
"347",3,2,288,"p1",0
"348",3,2,288,"p2",0.5
